Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaEstadia,Ciudad,Atraccion,TituloReview
"semi virgen, hermosa","Es una playa semivirgen, como era CanCun antes, no tiene el hermoso Azul de alla, pero nos topamos con peces grandes, y tuvimos la experiencia de que nos pasaran por los pies una mantaraya pequeña, fue espectacular. ",desconocido,5,"puebla, Mexico",2017-07-01,Mazatlan,Playa Cerritos,"semi virgen, hermosa. Es una playa semivirgen, como era CanCun antes, no tiene el hermoso Azul de alla, pero nos topamos con peces grandes, y tuvimos la experiencia de que nos pasaran por los pies una mantaraya pequeña, fue espectacular."
Tranquilidad y belleza ,Perfecta opción para parejas y niños ya que la marea es baja. Es muy fácil llegar incluso hay transporte público que te cobra 10 pesos y lo puedes tomar en cualquier parte del malecón o zona dorada. ,desconocido,4,anonimo,2017-07-01,Mazatlan,Playa Cerritos,Tranquilidad y belleza. Perfecta opción para parejas y niños ya que la marea es baja. Es muy fácil llegar incluso hay transporte público que te cobra 10 pesos y lo puedes tomar en cualquier parte del malecón o zona dorada.
buen lugar para descansar,"sin duda de las mejores playas de mexico, ideales para descansar y pasar un rato agradable con familia y amigos",desconocido,5,torreon coahuila,2016-09-01,Mazatlan,Playa Cerritos,"buen lugar para descansar. sin duda de las mejores playas de mexico, ideales para descansar y pasar un rato agradable con familia y amigos."
"Buen lugar para ir a nadar, pero el agua es fría en la unión MZT .- no tan cálido como el Caribe ir cuando hace calor afuera.",No vayas cuando es un día frío! Gente de ir aquí y ten cuidado con los ladrones caminando por tomar tus cosas cuando estás en el agua. Pero como en nosotros! Nadar smart!,desconocido,4,colorado springs,2016-10-01,Mazatlan,Playa Cerritos,"Buen lugar para ir a nadar, pero el agua es fría en la unión MZT .- no tan cálido como el Caribe ir cuando hace calor afuera. No vayas cuando es un día frío! Gente de ir aquí y ten cuidado con los ladrones caminando por tomar tus cosas cuando estás en el agua. Pero como en nosotros! Nadar smart!."
Excelente ,Si desean una opción rica para comer productos recién pescados esta es una magnífica opción. Pueden comer en los pequeños lugares cerca de la playa. Especialidad langosta con unas buenas cervezas. De verdad a 30 minutos del centro. Hay bus que los llevan. No dejen de ir,desconocido,4,"Mexico City, Distrito Federal, Mexico",2017-03-01,Mazatlan,Playa Cerritos,Excelente. Si desean una opción rica para comer productos recién pescados esta es una magnífica opción. Pueden comer en los pequeños lugares cerca de la playa. Especialidad langosta con unas buenas cervezas. De verdad a 30 minutos del centro. Hay bus que los llevan. No dejen de ir.
Zona tranquila,"Nos gusta alojarnos en la zona de Playa Cerritos de vez en cuando sólo para escapar de la Zona Dorada. Este hermoso tramo de playa tiene muchos apartamentos y casas para alquilar con unos pocos hoteles espolvoreado por el camino. No hay muchos restaurantes en la zona, pero a un corto viaje en autobús puede llegar a la marina, la Zona Dorada o varias otras zonas para comer.",desconocido,5,"The Villages, FL",2017-02-01,Mazatlan,Playa Cerritos,"Zona tranquila. Nos gusta alojarnos en la zona de Playa Cerritos de vez en cuando sólo para escapar de la Zona Dorada. Este hermoso tramo de playa tiene muchos apartamentos y casas para alquilar con unos pocos hoteles espolvoreado por el camino. No hay muchos restaurantes en la zona, pero a un corto viaje en autobús puede llegar a la marina, la Zona Dorada o varias otras zonas para comer."
Buenos restaurantes,Tuve una experiencia gastronomica muy buena en esta playa ademas que luego de comer el andar caminado por la orilla del mar con una cerveza bien fria no tiene rival,desconocido,5,"León, México",2016-03-01,Mazatlan,Playa Cerritos,Buenos restaurantes. Tuve una experiencia gastronomica muy buena en esta playa ademas que luego de comer el andar caminado por la orilla del mar con una cerveza bien fria no tiene rival.
Perfect beach!,"Este lugar es perfecto para los amantes de la playa, me encanto, mi hotel estaba frente a ella y en la tarde el paisaje es indescriptible...",desconocido,5,anonimo,2017-02-01,Mazatlan,Playa Cerritos,"Perfect beach!. Este lugar es perfecto para los amantes de la playa, me encanto, mi hotel estaba frente a ella y en la tarde el paisaje es indescriptible..."
Tranquila y hermosa,"Después de que están cansados de la agitación en la Zona Dorada (que es imprescindible), venga a Playa Cerritos. Algunos buenos restaurantes de playa, muy pocos vendedores ambulantes y el increíble caza shell!",desconocido,5,"Portland, Oregón",2017-01-01,Mazatlan,Playa Cerritos,"Tranquila y hermosa. Después de que están cansados de la agitación en la Zona Dorada (que es imprescindible), venga a Playa Cerritos. Algunos buenos restaurantes de playa, muy pocos vendedores ambulantes y el increíble caza shell!."
Fue un gran viaje,Fue un gran viajeUn viaje en barco muy interesanteComida deliciosa¡Estábamos muy contentos!recomiendo¡Buena suerte a todos!,desconocido,5,"Krasnodar, Rusia",2025-04-01,Mazatlan,Isla De La Piedras,Fue un gran viaje. Fue un gran viajeUn viaje en barco muy interesanteComida deliciosa¡Estábamos muy contentos!recomiendo¡Buena suerte a todos!.
Restaurante nenas ,Un buen lugar para pasar en la playa tranquila para comer rico ala orilla del mar y unas ricas bebidas preparadas con camastros amacas,desconocido,5,"Isla de la Piedra, México",2025-03-01,Mazatlan,Isla De La Piedras,Restaurante nenas. Un buen lugar para pasar en la playa tranquila para comer rico ala orilla del mar y unas ricas bebidas preparadas con camastros amacas.
Pasé un mes en la zona.,Stoney isla era nuestro lugar Go To para relajarse en la playa. Si compraste comida y bebidas. Tienes un paraguas y sillas de los restaurantes. La comida y las bebidas eran buenas. Menos vendedores y ruido que las principales playas.,desconocido,4,"Stoney Creek, Canadá",2025-01-01,Mazatlan,Isla De La Piedras,Pasé un mes en la zona. Stoney isla era nuestro lugar Go To para relajarse en la playa. Si compraste comida y bebidas. Tienes un paraguas y sillas de los restaurantes. La comida y las bebidas eran buenas. Menos vendedores y ruido que las principales playas.
Relajarse con los lugareños.,Es una playa local 🏖️. Bonito con restaurantes y todo lo normal de la playa. El agua estaba fría en febrero. Es bueno relajarse con los lugareños.,desconocido,4,"Arlington, TN",2025-02-01,Mazatlan,Isla De La Piedras,Relajarse con los lugareños. Es una playa local 🏖️. Bonito con restaurantes y todo lo normal de la playa. El agua estaba fría en febrero. Es bueno relajarse con los lugareños.
"Una playa, tranquila y relajada para disfrutar un día en Mazatlán","Estuvimos más de medio día  en esta playa, nos divertimos porque tienen diversas actividades. Nosotros aprovechamos y paseamos en caballo, nos subimos a la banana y estuvimos nadando en la playa, aunque hay más actividades tambiénLa playa es muy accesible para nadar, había muchos niños en ella, el oleaje es muy tranquilo y hay diversidad de  restaurantes para comerNosotros tomamos un Tours y nos pasearon también por las islas gemelas antes de llegar a la isla que en realidad es una península, y en este Tour también nos tocó ver, a unos leones marinos",desconocido,5,"Ciudad de México, México",2024-12-01,Mazatlan,Isla De La Piedras,"Una playa, tranquila y relajada para disfrutar un día en Mazatlán. Estuvimos más de medio día  en esta playa, nos divertimos porque tienen diversas actividades. Nosotros aprovechamos y paseamos en caballo, nos subimos a la banana y estuvimos nadando en la playa, aunque hay más actividades tambiénLa playa es muy accesible para nadar, había muchos niños en ella, el oleaje es muy tranquilo y hay diversidad de  restaurantes para comerNosotros tomamos un Tours y nos pasearon también por las islas gemelas antes de llegar a la isla que en realidad es una península, y en este Tour también nos tocó ver, a unos leones marinos."
Embarcadero isla de la piedra en Mazatlán Sinaloa,Excelente lugar si no quieres gastar la verdad es que nos cobraban 40 pesos y de vuelta te sale Super económico y además puedes estar todo el día o o el tiempo que tú quieras en la isla de la piedra esto no lo recomendaron porque si tomas un Tour estás expuesto a los horarios de ellos en cambios si tú llegas por tu propia cuenta puedes quedarte y también puedes comer donde tú quieras,desconocido,5,"Grand Prairie, TX",2024-08-01,Mazatlan,Isla De La Piedras,Embarcadero isla de la piedra en Mazatlán Sinaloa. Excelente lugar si no quieres gastar la verdad es que nos cobraban 40 pesos y de vuelta te sale Super económico y además puedes estar todo el día o o el tiempo que tú quieras en la isla de la piedra esto no lo recomendaron porque si tomas un Tour estás expuesto a los horarios de ellos en cambios si tú llegas por tu propia cuenta puedes quedarte y también puedes comer donde tú quieras.
Visita a la isla de piedra,"Suelo visitar la isla de piedra en diciembre cuando voy de vacaciones a Mazatlán. Es un lugar muy bonito que me hace sentir increíblemente feliz y tranquila, aunque también me pone nerviosa cruzar el mar. Su comida es muy sabrosa y afortunadamente, venden otros alimentos además de mariscos, es un ambiente muy agradable y cómodo. Es un lugar que me gusta mucho, pero no lo recomendaría a las personas que tienen miedo al mar, a menos que lleguen por tierra.",desconocido,5,anonimo,2023-12-01,Mazatlan,Isla De La Piedras,"Visita a la isla de piedra. Suelo visitar la isla de piedra en diciembre cuando voy de vacaciones a Mazatlán. Es un lugar muy bonito que me hace sentir increíblemente feliz y tranquila, aunque también me pone nerviosa cruzar el mar. Su comida es muy sabrosa y afortunadamente, venden otros alimentos además de mariscos, es un ambiente muy agradable y cómodo. Es un lugar que me gusta mucho, pero no lo recomendaría a las personas que tienen miedo al mar, a menos que lleguen por tierra."
No lierdas la oportunidad de visitar este lugar la pasarás de lujo,"Lugar a visitar en Mazatlán. Isla ubicada en el extremo de la ciudad,  rinda una buena opción de visitar, buenos restaurantes, tours y paseos a precios accesible. Cuenta con todo lo necesario para pasar un día genial. Paseos en moto, catamaran, motos y parachute.",desconocido,5,"Monterrey, México",2024-07-01,Mazatlan,Isla De La Piedras,"No lierdas la oportunidad de visitar este lugar la pasarás de lujo. Lugar a visitar en Mazatlán. Isla ubicada en el extremo de la ciudad,  rinda una buena opción de visitar, buenos restaurantes, tours y paseos a precios accesible. Cuenta con todo lo necesario para pasar un día genial. Paseos en moto, catamaran, motos y parachute."
Mantente alejado de Playa Sur Tours,"¡TERRIBLE CUIDADO CON LAS ESTAFAS! El promotor llamado Oscar Muñoz nos vendió un ""paquete"" que incluía transporte al muelle, barra libre, un paseo en barco a Stone Island y 2 actividades por persona. Nos estafaron y no conseguimos las actividades. La comida era horrible y la playa era un vertedero. ¡Dinero y tiempo perdidos!",desconocido,1,anonimo,2024-07-01,Mazatlan,Isla De La Piedras,"Mantente alejado de Playa Sur Tours. ¡TERRIBLE CUIDADO CON LAS ESTAFAS! El promotor llamado Oscar Muñoz nos vendió un ""paquete"" que incluía transporte al muelle, barra libre, un paseo en barco a Stone Island y 2 actividades por persona. Nos estafaron y no conseguimos las actividades. La comida era horrible y la playa era un vertedero. ¡Dinero y tiempo perdidos!."
Playa tranquila y bonita,"El lugar es bonito, hay variedad de restaurantes, nosotros fuimos a un tour, la verdad fue bueno, la comida rica, bebidas ilimitadas, lo que no fue tan bueno es que te limitan el tiempo en la playa y aparte te llevan tarde lo que te quita tiempo que no recuperas y el precio si es algo alto",desconocido,4,anonimo,2024-06-01,Mazatlan,Isla De La Piedras,"Playa tranquila y bonita. El lugar es bonito, hay variedad de restaurantes, nosotros fuimos a un tour, la verdad fue bueno, la comida rica, bebidas ilimitadas, lo que no fue tan bueno es que te limitan el tiempo en la playa y aparte te llevan tarde lo que te quita tiempo que no recuperas y el precio si es algo alto."
Full-time rving since 1/24,Rving at 3 amigos rv campground $30 a nite. Outstanding. Off the charts.Gourmet food. Ocean front property in Mexico. Viva mexico 🇲🇽 😍,desconocido,5,anonimo,2024-06-01,Mazatlan,Isla De La Piedras,Full-time rving since 1/24. Rving at 3 amigos rv campground $30 a nite. Outstanding. Off the charts.Gourmet food. Ocean front property in Mexico. Viva mexico 🇲🇽 😍.
TOUR ISLA DE LA PIEDRA MAZATLAN,"Los tours son un fraude sobre todo ya en la isla, la comida que ofrecen es deplorable no hay atención de meseros, no hay salsas, servilletas,etc. Sirven la comida fría y de mala gana. La atención del.personal es pésima.  No vale la pena lo que pagas (500).En una palabra. PESIMO.",desconocido,1,anonimo,2024-05-01,Mazatlan,Isla De La Piedras,"TOUR ISLA DE LA PIEDRA MAZATLAN. Los tours son un fraude sobre todo ya en la isla, la comida que ofrecen es deplorable no hay atención de meseros, no hay salsas, servilletas,etc. Sirven la comida fría y de mala gana. La atención del.personal es pésima.  No vale la pena lo que pagas (500).En una palabra. PESIMO."
STONE BEACH IS AWESOME,"We read about Stone Island on another review and took our family, and LOVED it!  We went from a cruise ship that ported in Mazatlan and simply walked there. We exited the marina area, turned left and walked down the street a few blocks until we hit an intersection, crossed the street and walked straight along the gravel road until we found a small ferry and went over. I believe it cost $3 per person round trip. There was someone there waiting for tourists to try and talk us into sitting in his chairs, but we went a bit further to El Velero restaurant, sat in some lounge chairs on the beach for free, ordered some drinks, and had a great time. The kids played in the sand and ocean while we ate fresh cannolis. There was also a message therapist/chiropractor named Sonia outside Estebin restaurant (just prior to El Velero) who was great! This beach was our favorite stop of all the ports. We enjoyed this way more than touring Mazatlan itself with an overpriced tour.",desconocido,5,"Twin Falls, ID",2024-02-01,Mazatlan,Isla De La Piedras,"STONE BEACH IS AWESOME. We read about Stone Island on another review and took our family, and LOVED it!  We went from a cruise ship that ported in Mazatlan and simply walked there. We exited the marina area, turned left and walked down the street a few blocks until we hit an intersection, crossed the street and walked straight along the gravel road until we found a small ferry and went over. I believe it cost $3 per person round trip. There was someone there waiting for tourists to try and talk us into sitting in his chairs, but we went a bit further to El Velero restaurant, sat in some lounge chairs on the beach for free, ordered some drinks, and had a great time. The kids played in the sand and ocean while we ate fresh cannolis. There was also a message therapist/chiropractor named Sonia outside Estebin restaurant (just prior to El Velero) who was great! This beach was our favorite stop of all the ports. We enjoyed this way more than touring Mazatlan itself with an overpriced tour."
Beautiful area close to cruise terminal,"We picked this bean from aa review on Trip Advisor and it did not disappoint. A short 10-15 min walk from cruise terminal to water taxi, $3 pp round trip (they collect tickets on the return trip),  so many restaurants to choose from and we just got some drinks and nacho and no charge for the chairs. Beach are was so wide, tons of room. Plenty of people just laid in the sand.  There are several vendor that try and sell their goods, but not too pushy. Great relaxing day",desconocido,5,anonimo,2024-02-01,Mazatlan,Isla De La Piedras,"Beautiful area close to cruise terminal. We picked this bean from aa review on Trip Advisor and it did not disappoint. A short 10-15 min walk from cruise terminal to water taxi, $3 pp round trip (they collect tickets on the return trip),  so many restaurants to choose from and we just got some drinks and nacho and no charge for the chairs. Beach are was so wide, tons of room. Plenty of people just laid in the sand.  There are several vendor that try and sell their goods, but not too pushy. Great relaxing day."
Stone Island Mazatlan,"Love this piece of Mazatlan- actually an Isla across from the harbour of Mazatlan.If on a cruise ship you simply step outside the terminal gate and turn left.Walk about three blocks and down a gravel road to the Embarcadero.Pay 3.00 and get a “returno” ticket , walk down the wharf and onto a “Panga”which will whisk you across to the Isla in about five minutes.Once on the Isla simply cross the road and walk down onto the beautiful beach that runs for miles.There are a number of beach style eat/ drink establishments along the way.Highly recommend El Velero for very good food off a wide variety of menu offerings.Same for drinks. You can eat at your  lounge chair under your umbrella or at the restaurant.Your choice, great service and pricing and they do not charge for beach chairs , unlike some other venues.We had a great day and have agreed to return in the future to bask in the sun once more.",desconocido,5,"Los Ayala, México",2024-01-01,Mazatlan,Isla De La Piedras,"Stone Island Mazatlan. Love this piece of Mazatlan- actually an Isla across from the harbour of Mazatlan.If on a cruise ship you simply step outside the terminal gate and turn left.Walk about three blocks and down a gravel road to the Embarcadero.Pay 3.00 and get a “returno” ticket , walk down the wharf and onto a “Panga”which will whisk you across to the Isla in about five minutes.Once on the Isla simply cross the road and walk down onto the beautiful beach that runs for miles.There are a number of beach style eat/ drink establishments along the way.Highly recommend El Velero for very good food off a wide variety of menu offerings.Same for drinks. You can eat at your  lounge chair under your umbrella or at the restaurant.Your choice, great service and pricing and they do not charge for beach chairs , unlike some other venues.We had a great day and have agreed to return in the future to bask in the sun once more."
Mazatlan bello,"En general bien, recomiendo mucho ir a la isla de piedra, usen ubers las pulmonías tienen lo de bonitas, lo que tienen de caras, uber es la mejor opción.",desconocido,4,anonimo,2024-01-01,Mazatlan,Isla De La Piedras,"Mazatlan bello. En general bien, recomiendo mucho ir a la isla de piedra, usen ubers las pulmonías tienen lo de bonitas, lo que tienen de caras, uber es la mejor opción."
Inhumane.,"I loved the people and the island it's like going back in time. However....after seeing SO many stray animals there as I seemed to be the only one feeding them. I asked around and no one gets their animals fixed even when the local animal rescue group pays 3k in US to get the mobile clinic there. THEN  to find dead carcasses on our walk ...some of the people there will put POISON out in meat to ""control the population "". I personally will not go back and spend any of my money there. Inhumane and just stupid. I noticed alot of US and Canadian citizens renting there hopefully they will get involved. ",desconocido,2,anonimo,2023-12-01,Mazatlan,Isla De La Piedras,"Inhumane. I loved the people and the island it's like going back in time. However....after seeing SO many stray animals there as I seemed to be the only one feeding them. I asked around and no one gets their animals fixed even when the local animal rescue group pays 3k in US to get the mobile clinic there. THEN  to find dead carcasses on our walk ...some of the people there will put POISON out in meat to ""control the population "". I personally will not go back and spend any of my money there. Inhumane and just stupid. I noticed alot of US and Canadian citizens renting there hopefully they will get involved."
Friendly town that looks like the real Mexico,A charming slice of the real Mexican lifestyle. Good restaurants and way too many Beach vendors! LOL,desconocido,4,"Mandeville, LA",2023-11-01,Mazatlan,Isla De La Piedras,Friendly town that looks like the real Mexico. A charming slice of the real Mexican lifestyle. Good restaurants and way too many Beach vendors! LOL.
Would not go back,Intended to spend day (from cruise ship).  Easy walk to shuttle boat $3 USD pp.  Stayed about an hour and left.  Not impressed whatsoever.  ,desconocido,5,"O'Fallon, MO",2023-09-01,Mazatlan,Isla De La Piedras,Would not go back. Intended to spend day (from cruise ship).  Easy walk to shuttle boat $3 USD pp.  Stayed about an hour and left.  Not impressed whatsoever.
Celebrando cumpleaños de mi Esposo ,Tiene una playa muy Tranquila y unos restaurantes muy rica su comida y la gente muy amable el amb .,desconocido,5,anonimo,2023-08-01,Mazatlan,Isla De La Piedras,Celebrando cumpleaños de mi Esposo. Tiene una playa muy Tranquila y unos restaurantes muy rica su comida y la gente muy amable el amb .
Isla de piedra,"Bonito paseo y estancia, se debe de ir preparado por ropa cómoda y bebidas. y buen clima pues el barco se mueve mucho.",desconocido,4,anonimo,2023-08-01,Mazatlan,Isla De La Piedras,"Isla de piedra. Bonito paseo y estancia, se debe de ir preparado por ropa cómoda y bebidas. y buen clima pues el barco se mueve mucho."
Bonita playa con amplia oferta de restaurantes ,"La playa es muy tranquila y puedes nadar sin preocuparte por un oleaje fuerte, tiene muchos restaurantes para elegir y los precios creo son buenos, el sabor de la comida también es muy bueno. Les recomendó tomar una lancha desde el embarcadero 40 pesos viaje redondo. ",desconocido,5,"Santiago de Querétaro, México",2023-07-01,Mazatlan,Isla De La Piedras,"Bonita playa con amplia oferta de restaurantes. La playa es muy tranquila y puedes nadar sin preocuparte por un oleaje fuerte, tiene muchos restaurantes para elegir y los precios creo son buenos, el sabor de la comida también es muy bueno. Les recomendó tomar una lancha desde el embarcadero 40 pesos viaje redondo."
Excelente lugar para nadar ,"La estadía  en la isla para apreciar su playa y disfrutar Del Mar es una experiencia bastante buena. Pero lo que no me gusto es que en el restaurante Puesta Del Sol te piden consumos mínimos dependiendo la zona donde se ubique la mesa.Contrate un tour que incluía transporte, recorrido en la bahía, comida y bebidas pero al llegar te condicionan al uso de las mesas, el guía te dice una cosa y los meseros te ponen tarifas.  Aunado a esto la comida muy racionada y las bebidas con alcohol deMuy mala calidad.  ",desconocido,5,anonimo,2023-07-01,Mazatlan,Isla De La Piedras,"Excelente lugar para nadar. La estadía  en la isla para apreciar su playa y disfrutar Del Mar es una experiencia bastante buena. Pero lo que no me gusto es que en el restaurante Puesta Del Sol te piden consumos mínimos dependiendo la zona donde se ubique la mesa.Contrate un tour que incluía transporte, recorrido en la bahía, comida y bebidas pero al llegar te condicionan al uso de las mesas, el guía te dice una cosa y los meseros te ponen tarifas.  Aunado a esto la comida muy racionada y las bebidas con alcohol deMuy mala calidad."
"Realidad vs facturación, no ha cambiado","Stone Island NO es una isla, es la punta de una península (con otras playas) a la que se puede llegar en coche. . . Los taxis van y vienen desde allí. . . tomamos un taxi de regreso a nuestro hotel, porque el viaje a la 'isla' no fue agradable (hija mareada). ¡NO hace falta tomar ningún barco para llegar a la 'isla'! Coge un taxi, es más barato y no te arriesgas a marearte antes de intentar comer en Stone Island.Si toma el bote grande, sale al Golfo de California (no estoy seguro de dónde comienza el Océano Pacífico oficial aquí) a una isla muy pequeña con foca (s), principalmente como relleno de tiempo, antes de regresar al opuesto. lado del canal desde donde cargó el barco, para descargar en 'Stone Island'. Usted desembarca del bote y se sube a un remolque agrícola con asientos de banco de madera, para ser arrastrado por un tractor hasta el área de la playa. . . por qué tenemos recuerdos duraderos de John Deere como vehículo de transporte.Me sorprendió descubrir que la misma farsa se perpetra contra los turistas incluso hoy en día.",desconocido,2,"Belmont, CA",2023-05-01,Mazatlan,Isla De La Piedras,"Realidad vs facturación, no ha cambiado. Stone Island NO es una isla, es la punta de una península (con otras playas) a la que se puede llegar en coche. . . Los taxis van y vienen desde allí. . . tomamos un taxi de regreso a nuestro hotel, porque el viaje a la 'isla' no fue agradable (hija mareada). ¡NO hace falta tomar ningún barco para llegar a la 'isla'! Coge un taxi, es más barato y no te arriesgas a marearte antes de intentar comer en Stone Island.Si toma el bote grande, sale al Golfo de California (no estoy seguro de dónde comienza el Océano Pacífico oficial aquí) a una isla muy pequeña con foca (s), principalmente como relleno de tiempo, antes de regresar al opuesto. lado del canal desde donde cargó el barco, para descargar en 'Stone Island'. Usted desembarca del bote y se sube a un remolque agrícola con asientos de banco de madera, para ser arrastrado por un tractor hasta el área de la playa. . . por qué tenemos recuerdos duraderos de John Deere como vehículo de transporte.Me sorprendió descubrir que la misma farsa se perpetra contra los turistas incluso hoy en día."
Un pueblo de playa mexicano.,"Nos alojamos aquí por una semana en Carmelitas. Es una posada y restaurante familiar. La larga y amplia playa de arena blanca estaba a unos pasos de distancia. Disfrutamos de generosos desayunos en el restaurante al aire libre con vistas a la playa. El personal de esperar fue muy atento. Nuestra habitación estaba rodeada por un jardín. Las camas eran cómodas. Hay una variedad de habitaciones disponibles. Nuestra semana fue justo lo que buscas de unas vacaciones en la playa, relajación y belleza. Buena natación y mucho sol en enero.",desconocido,4,"Tucson, AZ",2023-01-01,Mazatlan,Isla De La Piedras,"Un pueblo de playa mexicano. Nos alojamos aquí por una semana en Carmelitas. Es una posada y restaurante familiar. La larga y amplia playa de arena blanca estaba a unos pasos de distancia. Disfrutamos de generosos desayunos en el restaurante al aire libre con vistas a la playa. El personal de esperar fue muy atento. Nuestra habitación estaba rodeada por un jardín. Las camas eran cómodas. Hay una variedad de habitaciones disponibles. Nuestra semana fue justo lo que buscas de unas vacaciones en la playa, relajación y belleza. Buena natación y mucho sol en enero."
No vale la pena,"No vale la pena, comida,servicio e instalaciones no son buenas, si quieren conocerla vallan mínimo una hora, hay mejores lugares que tienes que conocer, primera y última ves que vamos",desconocido,2,"Piedras Negras, México",2023-04-01,Mazatlan,Isla De La Piedras,"No vale la pena. No vale la pena, comida,servicio e instalaciones no son buenas, si quieren conocerla vallan mínimo una hora, hay mejores lugares que tienes que conocer, primera y última ves que vamos."
parada de crucero,"Tuvimos una excursión a través de un crucero, y el complejo y la gente eran encantadores. El viaje al resort fue algo aterrador, pero en general pasamos un tiempo encantador en Mazatlán.",desconocido,4,"Maggie Valley, Carolina del Norte",2023-01-01,Mazatlan,Isla De La Piedras,"parada de crucero. Tuvimos una excursión a través de un crucero, y el complejo y la gente eran encantadores. El viaje al resort fue algo aterrador, pero en general pasamos un tiempo encantador en Mazatlán."
Isla de la Piedra,El recorrido en bote fue genial alrededor de las islas de los pájaros. Stone Island es tranquila y relajante. Caminamos para siempre en la playa.,desconocido,5,anonimo,2023-03-01,Mazatlan,Isla De La Piedras,Isla de la Piedra. El recorrido en bote fue genial alrededor de las islas de los pájaros. Stone Island es tranquila y relajante. Caminamos para siempre en la playa.
Excelente Tour,"Ctamarán, comida, banana, ricos alimentos, frescos y muy buen ambiente en la playa. Calido y buen servicio",desconocido,5,anonimo,2023-02-01,Mazatlan,Isla De La Piedras,"Excelente Tour. Ctamarán, comida, banana, ricos alimentos, frescos y muy buen ambiente en la playa. Calido y buen servicio."
Isla que no es isla,"No es una isla realmente. La comida regular, si quieren conocer vayan por su cuenta, no tomen paseos de los embarcaderos que solo te pasean 1 hora en donde mismo. Inviertan su tiempo en otra mejor en Mazatlán.",desconocido,2,"Guadalajara, México",2023-02-01,Mazatlan,Isla De La Piedras,"Isla que no es isla. No es una isla realmente. La comida regular, si quieren conocer vayan por su cuenta, no tomen paseos de los embarcaderos que solo te pasean 1 hora en donde mismo. Inviertan su tiempo en otra mejor en Mazatlán."
Playa muy bonita - muy relajante,Embarcación muy económica para llegar a la Isla donde podrás relajarte en la playa. También puedes comer en la playa o simplemente tomar una copa. Me encantó la oportunidad de ver una iguana de cerca y tenerla en mi brazo (para una foto). También me encantó caminar por la playa y hay una colina a la que puedes subir (con cabras) para disfrutar de unas vistas estupendas.,desconocido,5,anonimo,2023-01-01,Mazatlan,Isla De La Piedras,Playa muy bonita - muy relajante. Embarcación muy económica para llegar a la Isla donde podrás relajarte en la playa. También puedes comer en la playa o simplemente tomar una copa. Me encantó la oportunidad de ver una iguana de cerca y tenerla en mi brazo (para una foto). También me encantó caminar por la playa y hay una colina a la que puedes subir (con cabras) para disfrutar de unas vistas estupendas.
Tiempo increíble,"Fue una autoexcursión genial a la isla. Investigamos este lugar en YouTube y obtuvimos excelentes ideas. Almorcé en Lety's, que es un placer absoluto. La comida era increíble, las bebidas eran increíbles y los precios eran más que aceptables. El servicio es un poco lento, pero estás en la hora de la isla. Alquiler de quads en playa, patrullados por autoridades. Los vendedores no son una molestia, pero están ahí.",desconocido,5,anonimo,2023-01-01,Mazatlan,Isla De La Piedras,"Tiempo increíble. Fue una autoexcursión genial a la isla. Investigamos este lugar en YouTube y obtuvimos excelentes ideas. Almorcé en Lety's, que es un placer absoluto. La comida era increíble, las bebidas eran increíbles y los precios eran más que aceptables. El servicio es un poco lento, pero estás en la hora de la isla. Alquiler de quads en playa, patrullados por autoridades. Los vendedores no son una molestia, pero están ahí."
MALA,"Tome un tour con el catamaran puesta de sol, el transporte es bueno , mas sin embargo no vale la pena la comida, ni la isla, demasiadas horas para estar en una playa que no vale la pena , si pueden evitar venir seria lo mejor no se pierden de nada bueno",desconocido,2,"Ciudad de México, México",2023-01-01,Mazatlan,Isla De La Piedras,"MALA. Tome un tour con el catamaran puesta de sol, el transporte es bueno , mas sin embargo no vale la pena la comida, ni la isla, demasiadas horas para estar en una playa que no vale la pena , si pueden evitar venir seria lo mejor no se pierden de nada bueno."
¡Simplemente guau!,"Bueno, ¡fue una sorpresa maravillosa! ! Todavía virgen y hermosa. Tan cerca de la ciudad. Definitivamente regresaremos y pasaremos más tiempo relajándonos en Carmelitas.",desconocido,5,"Calgary, Canadá",2023-01-01,Mazatlan,Isla De La Piedras,"¡Simplemente guau!. Bueno, ¡fue una sorpresa maravillosa! ! Todavía virgen y hermosa. Tan cerca de la ciudad. Definitivamente regresaremos y pasaremos más tiempo relajándonos en Carmelitas."
