Titulo,Review,Calificacion,FechaEstadia,Ciudad,Atraccion,TituloReview,TituloReviewLimpio,SentimientoPorCalificacion,SentimientoPorHF,SentimientoPorCardiff,SubjetividadConHF,SubjetividadConFrases,SubjetividadConLLM,TopicoConBERTopic,TopicoConFASTopic,labels_parsed,num_labels,TopicoConLLM_gpt-4o-mini,TopicoConLLM_gpt-4.1-mini
grandprix,"todo estuvo muy bonito .. Santiago, Vanesa y Eli personas muy atentas y amables ... la vista es muy hermosa 😊 una experiencia maravillosa",5,2024-09-01,Cancun,Ventura Park,"grandprix. todo estuvo muy bonito .. Santiago, Vanesa y Eli personas muy atentas y amables ... la vista es muy hermosa 😊 una experiencia maravillosa.",grandprix todo estar mucho bonito santiago vanés y eli persona mucho atento y amab él el vista ser mucho hermoso uno experiencia maravilloso,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,"[10, 13]",2,"[8, 10]","[8, 10]"
Aventura park,Nos encantó los go card estuvo genial y las personas que nos atendieron nos trataron muy súper increíble genial por Santiago Vanessa y Eli gracias por esta súper experiencia,5,2024-09-01,Cancun,Ventura Park,Aventura park. Nos encantó los go card estuvo genial y las personas que nos atendieron nos trataron muy súper increíble genial por Santiago Vanessa y Eli gracias por esta súper experiencia.,aventura park yo encanto él go estuvo y el persona que yo atender yo tratar mucho por santiago vanessa y eli gracias por este experiencia,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Excursiones Guiadas,"[6, 10]",2,"[6, 10]","[6, 10]"
No devolución de reserva,"Soy de Peru y en el 2020 pague una ""aventura fun + fantastic experience"" para 4 personas para el día 23/12/2020 a las 10 am su numero de confirmación fue 2vp-200311-0267579 , la pandemia nos obligo a no poder viajar desde Perú , así que solicitamos la devolución del dinero al sr RAFAEL GARCIA a su correo contactus@aventurapark.com después de muchos correos diciendo que me devolverían,NO me devolvieron el dinero tengo todos los correos de reclamos y las reservas , ahora que paso la pandemia voy a estar en Cancún con mi familia del 20/12/2024 al 25/12/2024 así que quiero que lo reconozcan .. pero nadie contesta … les he escrito por correo y por WhatsApp … solo hay silencio no se a quien recurrir es como ya olvidaré ya nos tiramos tú plata no tienes a quien reclamar …. Cuidado con esta empresa … con Xcaret , Latam no tuve problema me devolvieron todo .. menos Ventura Park … no hay forma de tener respuesta",1,2024-09-01,Cancun,Ventura Park,"No devolución de reserva. Soy de Peru y en el 2020 pague una ""aventura fun + fantastic experience"" para 4 personas para el día 23/12/2020 a las 10 am su numero de confirmación fue 2vp-200311-0267579 , la pandemia nos obligo a no poder viajar desde Perú , así que solicitamos la devolución del dinero al sr RAFAEL GARCIA a su correo contactus@aventurapark.com después de muchos correos diciendo que me devolverían,NO me devolvieron el dinero tengo todos los correos de reclamos y las reservas , ahora que paso la pandemia voy a estar en Cancún con mi familia del 20/12/2024 al 25/12/2024 así que quiero que lo reconozcan .. pero nadie contesta … les he escrito por correo y por WhatsApp … solo hay silencio no se a quien recurrir es como ya olvidaré ya nos tiramos tú plata no tienes a quien reclamar …. Cuidado con esta empresa … con Xcaret , Latam no tuve problema me devolvieron todo .. menos Ventura Park … no hay forma de tener respuesta.",no devolucion de reserva ser de peru y en el pague uno aventura experience para persona para el dia a el am su numero de confirmacion ser 2vp el pandemia yo obligar a no poder viajar desde peru asi que solicitar el devolucion del dinero al sr rafael garcia a su correo contactus com despu de mucho correo decir que yo devolveriar no yo devolver el dinero tener todo el correo de reclamo y el reserva ahora que paso el pandemia ir a estar en cancun con mi familia del al asi que querer que él reconocer pero nadie contesta él haber escribir por correo y por whatsapp solo haber silencio no él a quien recurrir ser como ya olvidare ya yo tirar tu plata no tener a quien reclamar cuidado con este empresa con xcaret latam no tener problema yo devolver todo menos ventura park no haber forma de tener respuesta,Negativo,Negativo,Negativo,Subjetivo,Mixta,Mixta,,Transporte Marítimo,"[10, 12]",2,"[10, 11]","[6, 10]"
Pésimo  servicio,Tienen que mejorar el bufet estuvo horrible no tienen suficiente personal los juegos estuvimos esperando más de 30 minutos y nos los abrieron para niños pequeños pésima actitud de los trabajadores,1,2024-09-01,Cancun,Ventura Park,Pésimo  servicio. Tienen que mejorar el bufet estuvo horrible no tienen suficiente personal los juegos estuvimos esperando más de 30 minutos y nos los abrieron para niños pequeños pésima actitud de los trabajadores.,servicio tener que mejorar el bufet estar no tener el juego estuvir esperar mas de minuto y yo él abrir para nino actitud de el trabajador,Negativo,Negativo,Negativo,Subjetivo,Mixta,Subjetiva,,Parques y Diversión,"[0, 10]",2,"[0, 1, 10]","[0, 1, 10]"
Es un lugar agradable y divertido para la familia,Muy divertido las actividades Muy linda atención de parte sarahiTodas las atracciones muy linda y limpiasLa seguridad 10/10,5,2024-09-01,Cancun,Ventura Park,Es un lugar agradable y divertido para la familia. Muy divertido las actividades Muy linda atención de parte sarahiTodas las atracciones muy linda y limpiasLa seguridad 10/10.,ser uno lugar y para el familia mucho el actividad mucho atencion de parte el atracción mucho lindo y limpiaslo seguridad,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Compras y Lujo,"[10, 11]",2,"[10, 11]","[6, 10, 11]"
"Fue agradable,muy limpio, carritos buenos, superfuper,increíble,fantástico genial fantabuloso,impresionante,genial","Muy buena actividad, muy buen,muy grandiosa,muy eficiente, atención de vanessa y Santiago muy buena,eficiente,cordial,agradable,perfecta",5,2024-09-01,Cancun,Ventura Park,"Fue agradable,muy limpio, carritos buenos, superfuper,increíble,fantástico genial fantabuloso,impresionante,genial. Muy buena actividad, muy buen,muy grandiosa,muy eficiente, atención de vanessa y Santiago muy buena,eficiente,cordial,agradable,perfecta.",ser carrito superfuper increible fantastico genial fantabuloso impresionante genial mucho buen actividad mucho buen mucho grandioso mucho eficiente atencion de vanessa y santiago mucho buen eficiente cordial agradable perfecto,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,"[10, 13]",2,"[0, 10]","[2, 10]"
Fuerte Accidente en Tirolesa,"El pasado Viernes 13 de Sept 2024 fui al Parque Ventura Park de Cancun el cual después de haber estado unos dias antes en Xcaret y Xplor era deprimente pero decidimos ir por el precio del boleto, decidimos subirnos a la tirolesa donde por descuido del empleado del parque, al estar abriendo la puerta de seguridad con la pierna y sin revisar si la puerta abria completamente, al levantarme y darme vuelo para llegar al otro lado de la tirolesa sin problema, no me di cuenta que la puerta no habia sido abierta por completo, lo cual me provocó un fuerte golpe en pierta y pie, los cuales después de una semama me duelen todavia bastante.",1,2024-09-01,Cancun,Ventura Park,"Fuerte Accidente en Tirolesa. El pasado Viernes 13 de Sept 2024 fui al Parque Ventura Park de Cancun el cual después de haber estado unos dias antes en Xcaret y Xplor era deprimente pero decidimos ir por el precio del boleto, decidimos subirnos a la tirolesa donde por descuido del empleado del parque, al estar abriendo la puerta de seguridad con la pierna y sin revisar si la puerta abria completamente, al levantarme y darme vuelo para llegar al otro lado de la tirolesa sin problema, no me di cuenta que la puerta no habia sido abierta por completo, lo cual me provocó un fuerte golpe en pierta y pie, los cuales después de una semama me duelen todavia bastante.",accidente en tirolés el pasado viernes de sept ir parcar ventura park de cancun el cual despues de haber estar uno dia antes en xcaret y xplor ser deprimente pero decidir ir por el precio del boleto decidir subirno a el tirolesa donde por descuido del empleado del parque al estar abrir el puerta de seguridad con el pierna y sin revisar si el puerta abrio completamente al levantar yo y dar yo vuelo para llegar al otro lado de el tirolesa sin problema no yo dar contar que el puerta no habio ser abrir por completo él cual yo provoco uno fuerte golpe en pierta y pie el cual despues de uno semama yo duelar todavia bastante,Negativo,Negativo,Negativo,Subjetivo,Mixta,Mixta,,Parques y Diversión,"[6, 10, 12]",3,"[6, 10, 11]","[6, 10, 11]"
Excelente,Todo excelente me encantó la actividad las vueltas estuvieron super h me encantó el trato de oírte de Javier y vanessa se los recomiendo en los go kars,5,2024-09-01,Cancun,Ventura Park,Excelente. Todo excelente me encantó la actividad las vueltas estuvieron super h me encantó el trato de oírte de Javier y vanessa se los recomiendo en los go kars.,todo yo encantar el actividad el vuelta estar h yo encantar el trato de oirte de javier y vanessa él él recomeir en el go kars,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,"[6, 10]",2,"[6, 10]","[6, 10]"
"Excelente, muy divertido  recomendable  para disfrutar con toda la familia","Excelente, muy atentos  los muchachos (vanesa, Javier y ely) todo muy con la indicaciones nos aclararon todas las dudas y espero volver y recibir el servicio  con los mismos jóvenes",5,2024-09-01,Cancun,Ventura Park,"Excelente, muy divertido  recomendable  para disfrutar con toda la familia. Excelente, muy atentos  los muchachos (vanesa, Javier y ely) todo muy con la indicaciones nos aclararon todas las dudas y espero volver y recibir el servicio  con los mismos jóvenes.",mucho para disfrutar con todo el familia mucho el muchacho vanés javier y ely todo mucho con el indicación yo aclarar todo el duda y esperar volver y recibir el servicio con el mismo joven,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,[10],1,[10],[10]
Sarahí,Sarahí de el área de juego muy amable y servicial con mi hijo pequeño de 4 años fue muy cuidadosa con el todo muy bonito recomendado,5,2024-09-01,Cancun,Ventura Park,Sarahí. Sarahí de el área de juego muy amable y servicial con mi hijo pequeño de 4 años fue muy cuidadosa con el todo muy bonito recomendado.,sarahi sarahi de el area de juego mucho y con mi hijo de ano ser mucho con el todo mucho recomendado,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Excursiones Guiadas,[10],1,[10],[10]
Súper día,"La atención de Santiago muy bien en el área de juegos de feria, muy atento y amable con los niños, carrusel, mundakkar y los carros de construcción",5,2024-09-01,Cancun,Ventura Park,"Súper día. La atención de Santiago muy bien en el área de juegos de feria, muy atento y amable con los niños, carrusel, mundakkar y los carros de construcción.",super diar el atencion de santiago mucho bien en el area de juegos de feria mucho y con el nino carrusel mundakkar y el carro de construccion,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Excursiones Guiadas,[10],1,[10],"[6, 10]"
Ventura park,El parque es agradable el personal amable.  Estuvimos en los juegos de carros go cars con el chico Javier la visita estuvo excelente sin duda regresaría!,5,2024-09-01,Cancun,Ventura Park,Ventura park. El parque es agradable el personal amable.  Estuvimos en los juegos de carros go cars con el chico Javier la visita estuvo excelente sin duda regresaría!.,ventura park el parque ser el personal estuvir en el juego de carro cars con el chico javier el visita estar sin duda regresario,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Parques y Diversión,[10],1,[10],"[6, 10]"
Grand prix,"Excelente atención, nos encantó muy divertido para pasar con la familia. Nos atendió Santiago y Vanesa. Muy atentos y amables",5,2024-09-01,Cancun,Ventura Park,"Grand prix. Excelente atención, nos encantó muy divertido para pasar con la familia. Nos atendió Santiago y Vanesa. Muy atentos y amables.",grand prix atencion yo encantar mucho para pasar con el familia yo atendio santiago y vanesa mucho y,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,[10],1,[10],[10]
Gran prix,"Muy bien divertido , aunque pocas vueltas ... pero esta bien, amables el joven Santiago y Vanesa  .... apenas fue nuestra primer vuelta",5,2024-09-01,Cancun,Ventura Park,"Gran prix. Muy bien divertido , aunque pocas vueltas ... pero esta bien, amables el joven Santiago y Vanesa  .... apenas fue nuestra primer vuelta.",prix mucho bien aunque poco vuelta pero este bien el joven santiago y vanesa apenas ser nuestro primero vuelta,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Actividades Acuáticas,[10],1,[10],"[6, 10]"
"Diversion al 100, ambiente familiar","Comida deliciosa, area de juegos excelente, medidas de seguridad  interaccion con delfines muy linda al 100 con la trabajadora Vanessa",5,2024-09-01,Cancun,Ventura Park,"Diversion al 100, ambiente familiar. Comida deliciosa, area de juegos excelente, medidas de seguridad  interaccion con delfines muy linda al 100 con la trabajadora Vanessa.",diversion al ambiente comida areo de juegos medida de seguridad interaccion con delfín mucho al con el trabajadora vanessa,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Vida Marina,"[1, 10, 11]",3,"[1, 10, 11, 12]","[1, 10, 11, 12]"
Buena experiencia,"Muy buena experiencia, me gustó divierte a los niños y la atención de vanesa muy buena los pepes se distraen mucho y permite que como papá nos relajemos",5,2024-09-01,Cancun,Ventura Park,"Buena experiencia. Muy buena experiencia, me gustó divierte a los niños y la atención de vanesa muy buena los pepes se distraen mucho y permite que como papá nos relajemos.",experiencia mucho experiencia yo gustar divierte a el nino y el atencion de vanesa mucho el pep él distraer mucho y permitir que como papa yo relajer,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,[10],1,[10],[10]
Increíble,"Ninguno, me encantó toda la experiencias fue increíble cada unos de las paradas así como su comida  . 10 de 10 . Me gustó y volvería a venir",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Increíble. Ninguno, me encantó toda la experiencias fue increíble cada unos de las paradas así como su comida  . 10 de 10 . Me gustó y volvería a venir.",ninguno yo encantar todo el experiencia ser cada uno de el parada asi como su comida de yo gustar y volverio a venir,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Parques y Diversión,[1],1,[1],[1]
Xochimilco excelente experiencia,"Joss y Roberto dieron muy buen servicio y ambiente, mucho baile, comida y bebida precisa y la experiencia excelente. Sin duda regresamos.",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Xochimilco excelente experiencia. Joss y Roberto dieron muy buen servicio y ambiente, mucho baile, comida y bebida precisa y la experiencia excelente. Sin duda regresamos.",xochimilco experiencia joss y roberto dar mucho servicio y ambiente mucho baile comida y bebida y el experiencia sin duda regresar,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida Nocturna,"[1, 10, 13]",3,"[1, 10]","[1, 7, 10]"
Xoximilco increible experiencia,"Fue una experiencia maravillosa el ambiente de fiesta en las trajineras fue espectacular, no te olvides de contratar el paquete de fotos porque al final si no lo hiciste te vas a arrepentir de no haber guardado esos momentos increibles",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Xoximilco increible experiencia. Fue una experiencia maravillosa el ambiente de fiesta en las trajineras fue espectacular, no te olvides de contratar el paquete de fotos porque al final si no lo hiciste te vas a arrepentir de no haber guardado esos momentos increibles.",xoximilco experiencia ser uno experiencia el ambiente de fiesta en el trajinera ser no tú olvidser de contratar el paquete de foto porque al final si no él hiciste tú ir a arrepentir de no haber guardar ese momento,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Parques y Diversión,[7],1,"[3, 10]","[3, 10]"
Xochimilco tiene el mejor ambiente de fiesta!!,"Fui con mis amigos a celebrar mi cumpleaños y todo estuvo excelente, Paula y Lulú, nos ayudaron al check in con nuestro registro, superaron nuestras expectativas con la gran asistencia que nos ofrecieron, al subir a la trajinera sexy Anthony fue súper divertido junto con el capitán Adeián, los platillos típicos mexicanos y la música hacen que el show sea muy original. Sin duda repetiremos.",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Xochimilco tiene el mejor ambiente de fiesta!!. Fui con mis amigos a celebrar mi cumpleaños y todo estuvo excelente, Paula y Lulú, nos ayudaron al check in con nuestro registro, superaron nuestras expectativas con la gran asistencia que nos ofrecieron, al subir a la trajinera sexy Anthony fue súper divertido junto con el capitán Adeián, los platillos típicos mexicanos y la música hacen que el show sea muy original. Sin duda repetiremos.",xochimilco tener el ambiente de fiesta ir con mi amigo a celebrar mi cumpleano y todo estar excelente paula y lulu yo ayudar al check in con nuestro registro superar nuestro expectativa con el gran asistencia que yo ofrecer al subir a el trajinera sexy anthony ser super divertido junto con el capitan adeiar el platillo tipico mexicano y el musica hacer que el show ser mucho original sin duda repetirer,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Vida Nocturna,"[1, 4, 7, 10]",4,"[1, 3, 10]","[0, 1, 3, 10]"
Recomendado,"Visitamos este lugar para celebrar el cumpleaños de una amiga y todo estuvo increíble, todos nos divertimos. El servicio de Adrián y sexy Tony fue muy destacado.",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Recomendado. Visitamos este lugar para celebrar el cumpleaños de una amiga y todo estuvo increíble, todos nos divertimos. El servicio de Adrián y sexy Tony fue muy destacado.",visitar este lugar para celebrar el cumpleanos de uno amiga y todo estar todo yo divertir el servicio de adrian y tony ser mucho,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida Nocturna,[10],1,[10],"[7, 10]"
Xoximilco Experience,We had the pleasure of meeting Geo and Herasmo during our experience to Xoximilco. Los recomiendo al 100. Muchas gracias por todo chicos!!! El lugar espectacular y laExperiencia es una de las mejores que hemos tenido durante nuestra visita en Cancun! Volveremos pronto 🥰,5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,Xoximilco Experience. We had the pleasure of meeting Geo and Herasmo during our experience to Xoximilco. Los recomiendo al 100. Muchas gracias por todo chicos!!! El lugar espectacular y laExperiencia es una de las mejores que hemos tenido durante nuestra visita en Cancun! Volveremos pronto 🥰.,xoximilco experience we had the pleasure of meeting geo and herasmo during our experience to xoximilco el recomeir al mucho gracia por todo chico el lugar espectacular y laexperiencia ser uno de el mejor que haber tener durante nuestro visita en cancun volver pronto,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Excursiones Guiadas,[3],1,[3],"[3, 10]"
Genial.,¡Lo mejor que he pasado en mucho tiempo! Definitivamente volviendo. Voy a contar a amigos y familiares sobre mi experiencia aquí. No puedo esperar a volver,5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,Genial. ¡Lo mejor que he pasado en mucho tiempo! Definitivamente volviendo. Voy a contar a amigos y familiares sobre mi experiencia aquí. No puedo esperar a volver.,él que haber pasar en mucho tiempo definitivamente volver ir a contar a amigo y familiar sobre mi experiencia aqui no poder esperar a volver,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Parques y Diversión,[],0,[],[13]
Noche mexicana de fiesta y diversión,"Ambiente muy de fiesta mexicana, te permite conocer ciertos platos y dulces tipicos de Mexico, ambiente cool con musica en vivo",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Noche mexicana de fiesta y diversión. Ambiente muy de fiesta mexicana, te permite conocer ciertos platos y dulces tipicos de Mexico, ambiente cool con musica en vivo.",noche de fiesta y diversion ambiente mucho de fiesta tú permitir conocer cierto plato y de mexico ambiente con musico en,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Vida Nocturna,"[1, 4, 7]",3,"[1, 3]","[1, 3]"
Árbol de la vida,"Diego y edwin de la trajinera árbol de la vida fueron increíbles, fue nuestra primera ocasión de visita en xoximilco y superó nuestras expectativas, el lugar es increíble, el servicio excelente y la comida deliciosa, mil gracias a la mujeres bellas que nos prepararon la deliciosa comida, sin duda esperamos regresar pronto a Xoximilco",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Árbol de la vida. Diego y edwin de la trajinera árbol de la vida fueron increíbles, fue nuestra primera ocasión de visita en xoximilco y superó nuestras expectativas, el lugar es increíble, el servicio excelente y la comida deliciosa, mil gracias a la mujeres bellas que nos prepararon la deliciosa comida, sin duda esperamos regresar pronto a Xoximilco.",arbol de el vida diego y edwin de el arbol de el vida ser ser nuestro ocasion de visita en xoximilco y supero nuestro expectativa el lugar ser increible el servicio excelente y el comida deliciós mil gracias a el mujer bello que yo preparar el deliciós comida sin duda esperar regresar pronto a xoximilco,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida Nocturna,"[1, 10]",2,"[0, 1, 10]","[1, 10]"
Muy divertido,"La experiencia fue súper divertida, lo disfrutamos mucho. Había un poco de calor, por la temporada del año, pero eso no impidió que nos divirtieramos y bailaramos.",5,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Muy divertido. La experiencia fue súper divertida, lo disfrutamos mucho. Había un poco de calor, por la temporada del año, pero eso no impidió que nos divirtieramos y bailaramos.",mucho el experiencia ser super él disfrutar mucho habia uno poco de calor por el temporada del ano pero ese no impidiir que yo divirtieramos y bailaramos,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Excursiones Guiadas,[],0,"[3, 7]",[7]
Gracias por todo!,"Muy bonita la experiencia, tráiganse ropa cómoda porque el calorcito está deli!! Tuvimos la experiencia con francisco y Enrique y fue genial!!!",5,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Gracias por todo!. Muy bonita la experiencia, tráiganse ropa cómoda porque el calorcito está deli!! Tuvimos la experiencia con francisco y Enrique y fue genial!!!.",gracias por todo mucho el experiencia traiganse ropa porque el calorcito este tener el experiencia con francisco y enrique y ser,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,[],0,[10],[10]
animación,Las clases de bailes con la animadora Geidy. El yoga en la playa. Todo muy genial. Muy rica la carne de cerdo.  El servicio excelente. Excelente viaje.,5,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,animación. Las clases de bailes con la animadora Geidy. El yoga en la playa. Todo muy genial. Muy rica la carne de cerdo.  El servicio excelente. Excelente viaje.,animacion el clase de baile con el animadora el yoga en el playa todo mucho genial mucho rico el carne de cerdo el servicio excelente excelente viaje,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida Nocturna,"[1, 10]",2,"[1, 10]","[1, 6, 9, 10]"
Es muy divertido,"Está espectacular el servicio, es muy lindo que resalten esta nuestra cultura y tradiciones, lo recomiendo 100%, regresaré en mi próximo cumpleaños y porque no solo a celebrar la buena vida.",5,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Es muy divertido. Está espectacular el servicio, es muy lindo que resalten esta nuestra cultura y tradiciones, lo recomiendo 100%, regresaré en mi próximo cumpleaños y porque no solo a celebrar la buena vida.",ser mucho este el servicio ser mucho que resaltar este nuestro cultura y tradición él recomeir regresare en mi cumpleano y porque no a celebrar el vida,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Vida Nocturna,"[4, 10]",2,"[4, 10]","[4, 10]"
Excelente,"Excelente servicio muy bien ambiente y guía , recomiendo totalmente, muy agusto, volvería otra ocasión sin duda alguna",5,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Excelente. Excelente servicio muy bien ambiente y guía , recomiendo totalmente, muy agusto, volvería otra ocasión sin duda alguna.",servicio mucho bien ambiente y guia recomeir totalmente mucho volverio otro ocasion sin duda alguno,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Vida Nocturna,"[10, 13]",2,[10],[10]
Parques Xcaret hermosas experiencias,Fue una muy grata experiencia que en algún momento de mi vida repetiré y recomendaré a mis amigos y familiares para que disfruten de tan hermosa experiencia.,5,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,Parques Xcaret hermosas experiencias. Fue una muy grata experiencia que en algún momento de mi vida repetiré y recomendaré a mis amigos y familiares para que disfruten de tan hermosa experiencia.,parque xcaret experiencia ser uno mucho experiencia que en algun momento de mi vida repetire y recomendare a mi amigo y familiar para que disfrutar de tanto experiencia,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Parques y Diversión,[8],1,[8],[8]
I LOVE XOCHIMILCO,"El ambiente, el espectáculo desde que entras al recinto, los animadores de cada trajinera, los mariachis cantando todos juntos en mitad del recorrido... Todo espectacular",5,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"I LOVE XOCHIMILCO. El ambiente, el espectáculo desde que entras al recinto, los animadores de cada trajinera, los mariachis cantando todos juntos en mitad del recorrido... Todo espectacular.",i love xochimilco el ambiente el espectaculo desde que entra al recinto el animador de cada trajinera el mariachis cantar todo junto en mitad del recorrido todo espectacular,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,"[3, 13]",2,[3],"[3, 10]"
Diversión al límite,La fiesta es increíble desde que llegas! El ambiente en la trajinera es super divertido. La música padrisima!  El animador muy servicial y divertido. Las instalaciones preciosas!,5,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,Diversión al límite. La fiesta es increíble desde que llegas! El ambiente en la trajinera es super divertido. La música padrisima!  El animador muy servicial y divertido. Las instalaciones preciosas!.,diversion al limite el fiesta ser desde que llegar el ambiente en el trajinera ser super el musico el animador mucho servicial y divertido el instalación precioso,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Vida Nocturna,"[7, 10, 13]",3,"[0, 7, 10]","[0, 7, 10]"
Espectácular,"Espectacular, maravilloso.. La atención, la comida etc… Lo mejor de lo mejor, primera vez en Cancún y me llevo la mejor experiencia",5,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Espectácular. Espectacular, maravilloso.. La atención, la comida etc… Lo mejor de lo mejor, primera vez en Cancún y me llevo la mejor experiencia.",espectacular maravilloso el atencion el comida etc él mejor de él mejor primero vez en cancun y yo llevar el mejor experiencia,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Vida Nocturna,"[1, 10]",2,"[0, 1, 10]","[0, 1, 10]"
Nos encantó esta experiencia,"Excelente experiencia de principio a fin.  Maravillosas instalaciones, el show es maravilloso,  el guía y el conductor de la trajinera fueron muy divertidos y atentos.",5,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"Nos encantó esta experiencia. Excelente experiencia de principio a fin.  Maravillosas instalaciones, el show es maravilloso,  el guía y el conductor de la trajinera fueron muy divertidos y atentos.",yo encantar este experiencia experiencia de principio a fin instalación el show ser el guia y el conductor de el trajinera ser mucho y,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,"[0, 10]",2,"[0, 10]","[2, 3, 10]"
Maravilloso,"Todo excelente lo recomiendo,en el lugar nos trataron como en casa 100% recomendado para pasarla bien, faltaría agrega agua de regreso",5,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"Maravilloso. Todo excelente lo recomiendo,en el lugar nos trataron como en casa 100% recomendado para pasarla bien, faltaría agrega agua de regreso.",todo él recomeir en el lugar yo tratar como en casa para pasar él bien faltario agregar agua de regreso,Positivo,Positivo,Positivo,Subjetivo,Mixta,Subjetiva,,Actividades Acuáticas,[10],1,"[0, 10]",[10]
Una experiencia inigualable!!!!,"Excepcional!! Súper divertida!!!Giovanni, nuestro acompañante durante la experiencia, divino. Hizo de la atracción una experiencia inolvidable.",5,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"Una experiencia inigualable!!!!. Excepcional!! Súper divertida!!!Giovanni, nuestro acompañante durante la experiencia, divino. Hizo de la atracción una experiencia inolvidable.",uno experiencia excepcional super divertido giovanni nuestro acompanante durante el experiencia divino hacer de el atraccion uno experiencia inolvidable,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Excursiones Guiadas,[],0,[10],[10]
"La verdad que sólo puedo decir que volvería las veces que pueda, porque el lugar no tiene de desperdicio","Que sigan abriendo las puertas a ese lugar, tan hermoso para que los visitan te puedan disfrutar de tantas cosas bonitas que tienen",5,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"La verdad que sólo puedo decir que volvería las veces que pueda, porque el lugar no tiene de desperdicio. Que sigan abriendo las puertas a ese lugar, tan hermoso para que los visitan te puedan disfrutar de tantas cosas bonitas que tienen.",el verdad que solo poder decir que volveriar el vez que poder porque el lugar no tener de desperdicio que seguir abrir el puerta a ese lugar tanto para que él visitar tú poder disfrutar de tanto cosa que tener,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Actividades Acuáticas,[],0,[13],[13]
